target,predictors,model
COG_depth_fall,"s(Heatwave,k=10)+s(calfin_100m3,k=10)+s(pseudo_100m3,k=10)",model60
COG_Lat_fall,"s(Heatwave,k=10)+s(calfin_100m3,k=10)+s(SSB,k=10)",model61
COG_depth_fall,"s(Heatwave,k=10)+s(calfin_100m3,k=10)+s(SSB,k=10)",model62
COG_Lat_fall,"s(Heatwave,k=10)+s(pseudo_100m3,k=10)+s(SSB,k=10)",model63
COG_depth_fall,"s(Heatwave,k=10)+s(pseudo_100m3,k=10)+s(SSB,k=10)",model64
COG_Lat_fall,"s(GSI,k=10)+s(calfin_100m3,k=10)+s(pseudo_100m3,k=10)",model65
COG_depth_fall,"s(GSI,k=10)+s(calfin_100m3,k=10)+s(pseudo_100m3,k=10)",model66
COG_Lat_fall,"s(GSI,k=10)+s(calfin_100m3,k=10)+s(SSB,k=10)",model67
COG_depth_fall,"s(GSI,k=10)+s(calfin_100m3,k=10)+s(SSB,k=10)",model68
COG_Lat_fall,"s(GSI,k=10)+s(pseudo_100m3,k=10)+s(SSB,k=10)",model69
COG_depth_fall,"s(GSI,k=10)+s(pseudo_100m3,k=10)+s(SSB,k=10)",model70
COG_Lat_fall,"s(calfin_100m3,k=10)+s(pseudo_100m3,k=10)+s(SSB,k=10)",model71
COG_depth_fall,"s(calfin_100m3,k=10)+s(pseudo_100m3,k=10)+s(SSB,k=10)",model72
COG_Lat_fall,"s(bt_anomaly,k=10)",model73
COG_depth_fall,"s(bt_anomaly,k=10)",model74
COG_Lat_fall,"s(sst_anomaly,k=10)",model75
COG_depth_fall,"s(sst_anomaly,k=10)",model76
COG_Lat_fall,"s(Heatwave,k=10)",model77
COG_depth_fall,"s(Heatwave,k=10)",model78
COG_Lat_fall,"s(GSI,k=10)",model79
COG_depth_fall,"s(GSI,k=10)",model80
COG_Lat_fall,"s(calfin_100m3,k=10)",model81
COG_depth_fall,"s(calfin_100m3,k=10)",model82
COG_Lat_fall,"s(pseudo_100m3,k=10)",model83
COG_depth_fall,"s(pseudo_100m3,k=10)",model84
COG_Lat_fall,"s(SSB,k=10)",model85
COG_depth_fall,"s(SSB,k=10)",model86
